=VLOOKUP(IF($W$6="",L8,IF($W$6="O",O8,IF($W$6="R",R8,U8))),TPecap!$B$6:TPecap!$D$1666,1,TRUE)

67815  -> 9308.60

9308.6	67689	67845	9308.6



CONTENT	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>				ELEVATION		ELEVATION>>>>>>>		>>>>>>>	CONTENT
																		
70462	9310.3	70367	70527	0.059375	9310.36		9310.36	70367	70527	70463
                                        
GAGE	0	0.10																
9186.0	50	52	9186.0					9238	7787	7824	7860	7896	7932	7969	8005	8042	8079	8115
9186.1	52	54	9186.1					9239	8152	8189	8226	8263	8300	8338	8375	8412	8450	8487
9186.2	54	55	9186.2					9240	8525	8563	8601	8639	8677	8715	8753	8791	8830	8869
9186.3	55	57	9186.3					9241	8907	8946	8985	9024	9063	9102	9142	9181	9220	9260
9186.4	57	59	9186.4					9242	9300	9340	9380	9420	9460	9500	9540	9581	9621	9662
9186.5	59	61	9186.5					9243	9703	9744	9785	9826	9867	9908	9950	9991	10033	10074
9186.6	61	63	9186.6					9244	10116	10158	10200	10242	10284	10327	10369	10412	10454	10497
9186.7	63	64	9186.7					9245	10540	10583	10626	10669	10712	10756	10799	10843	10887	10930
9186.8	64	66	9186.8					9246	10974	11018	11062	11106	11151	11195	11240	11284	11329	11374
9186.9	66	68	9186.9					9247	11419	11464	11509	11554	11600	11645	11691	11736	11782	11828
9187.0	68	70	9187.0					9248	11874	11920	11966	12012	12059	12105	12152	12198	12245	12292
9187.1	70	72	9187.1					9249	12339	12386	12434	12481	12528	12576	12623	12671	12719	12767
9187.2	72	74	9187.2					9250	12815	12863	12911	12960	13008	13057	13106	13154	13203	13252
9187.3	74	76	9187.3					9251	13301	13351	13400	13449	13499	13548	13598	13648	13698	13748
9187.4	76	78	9187.4					9252	13798	13848	13899	13949	14000	14051	14101	14152	14203	14254
9187.5	78	80	9187.5					9253	14306	14357	14408	14460	14512	14563	14615	14667	14719	14772
9187.6	80	82	9187.6					9254	14824	14876	14929	14981	15034	15087	15140	15193	15246	15299
9187.7	82	84	9187.7					9255	15353	15406	15460	15513	15567	15621	15675	15729	15783	15837
9187.8	84	87	9187.8					9256	15892	15946	16001	16056	16110	16165	16220	16276	16331	16386
9187.9	87	89	9187.9					9257	16442	16497	16553	16609	16665	16721	16777	16833	16889	16946
9188.0	89	91	9188.0					9258	17002	17059	17116	17172	17229	17286	17344	17401	17458	17516
9188.1	91	93	9188.1					9259	17573	17631	17689	17747	17805	17863	17921	17979	18038	18096
9188.2	93	95	9188.2					9260	18155	18214	18273	18332	18391	18450	18510	18569	18629	18689
9188.3	95	98	9188.3					9261	18749	18809	18870	18930	18991	19052	19113	19174	19235	19296
9188.4	98	100	9188.4					9262	19358	19419	19481	19543	19605	19667	19730	19792	19855	19917
9188.5	100	102	9188.5					9263	19980	20043	20107	20170	20233	20297	20361	20425	20489	20553
9188.6	102	105	9188.6					9264	20617	20682	20747	20811	20876	20941	21006	21072	21137	21203
9188.7	105	107	9188.7					9265	21269	21335	21401	21467	21533	21600	21666	21733	21800	21867
9188.8	107	109	9188.8					9266	21934	22002	22069	22137	22205	22273	22341	22409	22477	22546
9188.9	109	112	9188.9					9267	22614	22683	22752	22821	22890	22960	23029	23099	23169	23239
9189.0	112	114	9189.0					9268	23309	23379	23449	23520	23590	23661	23732	23803	23874	23946
9189.1	114	117	9189.1					9269	24017	24089	24161	24233	24305	24377	24449	24522	24594	24667
9189.2	117	119	9189.2					9270	24740	24813	24886	24960	25033	25107	25181	25255	25329	25403
9189.3	119	122	9189.3					9271	25478	25553	25627	25702	25777	25853	25928	26004	26080	26156
9189.4	122	124	9189.4					9272	26232	26308	26384	26461	26538	26614	26691	26769	26846	26923
9189.5	124	127	9189.5					9273	27001	27079	27157	27235	27313	27392	27470	27549	27628	27707
9189.6	127	130	9189.6					9274	27786	27866	27945	28025	28105	28185	28265	28346	28426	28507
9189.7	130	132	9189.7					9275	28587	28668	28750	28831	28912	28994	29076	29158	29240	29322
9189.8	132	135	9189.8					9276	29404	29487	29570	29653	29736	29819	29902	29986	30069	30153
